lemma,group,on_list
purpose,2,general
department,2,general
gain,2,general
tree,2,general
college,2,general
argue,2,general
board,2,general
holiday,2,general
mark,2,general
church,2,general
machine,2,general
achieve,2,general
item,2,general
prove,2,general
cent,2,general
season,2,general
floor,2,general
stuff,2,general
wide,2,general
anyone,2,general
method,2,general
analysis,2,general
election,2,general
military,2,general
hotel,2,general
club,2,general
below,2,general
movie,2,general
doctor,2,general
discussion,2,general
sorry,2,general
challenge,2,general
nation,2,general
nearly,2,general
statement,2,general
link,2,general
despite,2,general
introduce,2,general
advantage,2,general
ready,2,general
marry,2,general
strike,2,general
mile,2,general
seek,2,general
ability,2,general
unit,2,general
card,2,general
hospital,2,general
quickly,2,general
interview,2,general
agreement,2,general
release,2,general
tax,2,general
solution,2,general
capital,2,general
popular,2,general
specific,2,general
beautiful,2,general
fear,2,general
aim,2,general
television,2,general
serious,2,general
target,2,general
degree,2,general
pull,2,general
red,2,general
husband,2,general
access,2,general
movement,2,general
treat,2,general
identify,2,general
loss,2,general
shall,2,general
modern,2,general
pressure,2,general
bus,2,general
treatment,2,general
yourself,2,general
supply,2,general
village,2,general
worth,2,general
natural,2,general
express,2,general
indicate,2,general
attend,2,general
