Word,TSL Rank,SFI,U
professionally,943,50.71,11.77
publicize,944,50.71,11.77
ray,945,50.71,11.77
redecorate,946,50.71,11.77
refinery,947,50.71,11.77
refresh,948,50.71,11.77
refundable,949,50.71,11.77
reimbursement,950,50.97,12.5
reliability,951,50.71,11.77
reluctant,952,50.71,11.77
sewer,953,50.71,11.77
skate,954,50.71,11.77
skateboard,955,50.71,11.77
sleepy,956,50.71,11.77
tailor,957,50.71,11.77
termination,958,50.71,11.77
theft,959,50.71,11.77
thunderstorm,960,50.71,11.77
transmission,961,50.71,11.77
transmit,962,50.71,11.77
unused,963,50.71,11.77
waive,964,50.71,11.77
yen,965,50.71,11.77
activate,966,50.43,11.03
additionally,967,50.43,11.03
affirmative,968,50.43,11.03
baker,969,50.43,11.03
brainstorm,970,50.43,11.03
cage,971,50.43,11.03
cinema,972,50.43,11.03
collaboration,973,50.43,11.03
condominium,974,50.43,11.03
consecutive,975,50.43,11.03
cordless,976,50.43,11.03
deluxe,977,50.43,11.03
desirable,978,50.43,11.03
discrepancy,979,50.43,11.03
dispatch,980,50.43,11.03
drawback,981,50.43,11.03
dull,982,50.43,11.03
economically,983,50.43,11.03
evenly,984,50.43,11.03
excellence,985,50.43,11.03
exclusively,986,50.43,11.03
farewell,987,50.43,11.03
fatigue,988,50.43,11.03
fiscal,989,50.43,11.03
fleet,990,50.43,11.03
flour,991,50.43,11.03
fog,992,50.43,11.03
formally,993,50.43,11.03
gram,994,50.43,11.03
handbook,995,50.43,11.03
headphone,996,50.43,11.03
heater,997,50.43,11.03
helmet,998,50.71,11.77
